asin	1	2	3	4	5
7014454	1	0	0	0	0
8238088	0	0	1	1	5
2514409	1	0	0	0	0
4326265	0	0	0	1	2
6013488	1	0	2	3	4
9152526	2	1	7	33	69
2033301	3	0	0	3	11
3205821	0	0	0	0	1
4685477	0	0	0	0	1
2167502	2	2	3	30	31
9881647	2	1	6	20	22
5772231	16	8	9	44	24
3256426	19	3	7	20	13
3263152	6	7	12	19	24
3088884	11	2	5	12	5
8871286	6	5	8	7	5
3595458	5	3	5	16	7
4645922	3	0	1	5	6
5170495	1	1	0	6	4
8300481	2	0	2	8	6
7457844	0	1	0	1	3
7299295	1	0	0	0	2
4147882	0	0	0	1	0
4464919	0	0	1	0	1
1899111	0	0	0	4	1
5256418	0	0	1	2	0
7184790	0	0	0	1	0
7868763	0	0	0	0	2
9742311	0	0	0	0	1
5213564	0	0	0	3	5
3812520	0	0	1	0	2
1232605	25	2	9	40	146
6640849	0	0	1	1	5
1636871	3	1	2	6	25
3073721	7	1	7	8	21
2304883	1	0	1	0	4
2870039	0	0	0	0	2
7918640	0	0	0	0	1
2798550	0	0	0	1	1
8730389	1	0	1	1	1
6572808	0	0	0	0	1
3680718	1	0	0	1	3
4049424	0	1	1	5	8
9481547	0	0	0	0	1
9471855	1	0	2	4	6
1550210	0	0	1	2	0
2845916	0	0	0	0	1
8144744	0	0	0	1	0
2788804	2	0	0	0	0
9337333	1	0	0	0	0
7323065	20	6	12	18	58
8878291	0	0	0	0	2
8226252	0	0	0	0	3
3005366	0	0	0	2	2
5091590	0	0	0	2	0
1715659	0	0	0	1	0
1758652	1	0	0	1	1
5441216	0	0	0	0	1
5983227	0	0	1	0	0
7148133	0	0	0	1	3
1140009	0	0	0	0	1
2038847	4	4	3	17	29
9724385	1	0	0	5	8
7671303	0	0	0	0	1
8559001	0	1	1	6	39
1217410	1	1	4	31	84
4578456	0	0	0	0	1
4217343	0	0	0	1	4
2463702	2	1	1	6	6
3794622	1	0	0	0	0
7612650	0	0	0	1	0
8907444	1	2	0	1	5
6111379	0	1	0	0	1
6765585	0	0	1	1	3
1409947	0	0	0	1	3
8586413	0	0	1	5	16
8446936	4	5	2	16	46
1111873	0	0	0	0	1
4019465	0	0	0	0	1
2350956	1	0	1	0	0
4714726	0	0	0	0	1
4558312	2	0	1	2	4
9894175	0	0	1	1	1
3663220	0	0	0	3	5
1878252	0	0	0	0	1
5188005	1	0	0	3	2
5131743	0	0	0	1	0
7136051	1	0	0	1	1
3833351	29	5	5	14	27
4601629	0	0	0	1	1
6224712	10	0	5	11	43
6080689	0	0	0	2	1
3755840	0	1	0	0	1
2090365	4	0	8	20	46
1731587	1	0	0	0	1
7261427	2	0	0	1	1
8944723	1	0	0	0	1
1324368	0	0	0	0	1
2480358	5	0	10	19	70
7948207	0	0	1	3	7
2699589	0	0	0	1	0
3317805	0	0	0	0	2
5534644	0	0	0	0	2
9690276	2	1	1	6	9
7486388	0	0	0	0	1
2087139	0	0	0	0	1
2667728	0	2	2	0	4
6602333	0	0	0	1	4
3772720	1	0	2	3	10
1591238	1	0	0	3	1
6289811	0	0	0	3	11
7197548	1	4	2	13	45
5256083	8	6	18	93	278
5664080	1	0	1	4	11
9653225	0	0	0	2	1
9830973	0	1	0	1	3
4440674	5	1	1	14	47
1182035	5	0	2	11	42
1385069	2	1	0	3	2
9490783	10	8	24	112	173
3912074	1	0	0	1	0
3582749	0	0	0	0	1
7939850	1	0	0	2	1
7019276	0	0	1	0	0
8901275	0	0	0	0	1
4635301	1	0	0	1	5
2363842	0	0	0	0	2
7037137	0	0	0	0	3
9251690	0	0	0	2	8
8438143	0	0	0	0	2
4487449	0	0	0	1	0
5869668	0	1	0	0	1
4686338	0	1	0	0	1
2513741	0	0	1	5	6
2018041	1	0	2	1	4
2294589	0	0	0	0	1
5012491	2	0	0	0	0
8435946	0	0	0	0	1
3133552	0	0	0	0	1
1657516	11	5	2	12	28
4806015	4	0	5	11	28
6841792	1	0	0	4	1
1275082	0	0	0	1	1
1955903	3	0	1	3	14
7315442	0	0	0	1	0
7659894	0	0	1	1	2
9347385	0	0	0	0	1
7101559	1	0	0	0	0
6958165	0	0	0	0	4
7476136	1	0	0	0	9
8694327	0	0	0	0	2
3558104	0	0	0	0	2
4828867	0	0	0	3	5
8337776	5	3	0	5	13
1146318	0	0	1	1	7
1147941	0	0	0	0	1
4940800	0	0	0	0	1
7723906	2	2	2	16	44
8162091	0	0	0	0	4
1673180	0	0	0	0	1
4093112	0	0	1	0	5
4524487	0	0	0	2	3
4058724	0	0	0	1	0
5931782	0	0	0	1	4
9354489	0	0	0	0	2
3947559	0	0	0	1	5
8232433	1	0	0	3	2
8372678	0	0	1	1	5
7404534	0	3	2	0	1
7084366	3	1	0	0	1
3227038	0	0	1	0	4
7188446	1	0	0	0	3
4859218	0	0	0	6	23
9617936	2	0	0	0	5
7542366	4	0	0	0	1
8116735	1	0	0	0	2
4426259	1	0	1	0	0
6741128	1	0	0	4	5
9181648	12	10	20	76	163
6846636	4	0	2	9	49
2917707	0	0	0	0	2
6586589	7	4	9	43	62
7336312	0	0	1	4	8
1557896	16	3	10	17	60
3907246	0	0	0	0	1
2748126	0	0	0	0	2
4683546	5	2	1	7	42
5662866	1	0	0	0	0
2273964	1	0	0	0	0
9480797	0	0	0	2	0
6641796	0	0	1	0	2
3786281	3	1	6	37	57
5531566	6	0	0	0	8
5035402	3	0	1	3	3
8171037	14	5	5	12	21
4164784	0	0	0	1	0
4876808	0	2	2	17	22
9926414	0	0	0	0	1
1010734	0	0	0	0	2
4647769	0	0	0	1	0
9146075	1	0	0	0	0
1272660	7	2	3	8	18
1426077	3	0	0	13	46
5683436	0	0	0	0	1
2278761	1	0	0	2	3
4398082	1	1	4	8	23
2323592	37	3	5	19	60
3477081	0	0	1	1	3
6902948	0	0	1	0	1
2851783	0	1	0	0	0
6171467	0	0	0	0	1
3436989	0	0	0	1	3
6895336	2	0	1	4	7
5563353	4	1	1	9	29
9696399	4	1	4	31	138
1721948	2	0	2	14	36
4769091	51	10	21	66	117
3106290	2	1	3	4	24
3395402	1	2	0	2	2
6506381	3	3	5	17	176
2259597	2	1	2	15	37
8487813	0	0	0	1	0
2436857	4	7	3	17	27
6927125	58	6	10	23	49
2229889	5	1	3	16	50
6832278	0	0	2	16	66
1144998	1	0	0	0	0
9042839	0	0	0	0	1
9185166	10	3	7	12	14
7519399	1	0	1	0	1
8932699	3	2	0	0	0
1145244	0	0	0	0	3
4007755	96	11	16	33	76
9652038	0	0	0	2	0
2898215	0	0	0	1	0
3927572	1	0	1	0	4
1276068	0	0	0	1	1
