asin	1	2	3	4	5
B00000K2YR	155	99	109	247	639
B00001P4XA	102	105	128	222	522
B00001P4XH	85	64	102	190	521
B00001P4ZH	105	107	220	643	2329
B00001P505	17	25	26	124	252
B00001WRSJ	62	65	133	385	2165
B0000228GF	18	9	17	31	49
B00004Z7G9	19	16	22	59	186
B0000510ZO	46	16	51	148	1002
B00005111L	3	3	4	32	121
B000051SD1	26	18	29	55	146
B00005T3BD	17	10	36	123	642
B00005T3C8	9	6	14	95	418
B000065BPB	94	142	189	491	1652
B000066R6M	88	45	57	154	414
B000068CNM	10	3	14	43	159
B000069EV0	79	21	22	46	146
B00006B81E	117	69	176	601	2641
B00006HOKR	56	36	53	138	381
B00006HQR8	9	2	3	41	221
B00006I539	4	0	0	2	42
B00006I53B	21	25	21	67	274
B00006IS4X	51	40	51	125	313
B00006JPDF	1	2	5	21	77
B00006JQKA	19	12	18	58	274
B00006WNKR	7	7	10	16	121
B00007KDX6	145	108	141	313	1416
B00007L3MX	1	0	1	2	12
B00008VFBE	20	12	20	38	86
B00008XETL	15	6	15	47	113
B000092TT0	109	55	56	222	1632
B000095SB4	179	107	149	293	458
B00009K087	6	4	4	10	38
B00009V3TT	42	14	33	49	103
B00009WBYJ	1	1	2	8	44
B00009WBYL	1	0	6	21	132
B0000AI0N1	62	28	68	301	1297
B0000AUFKI	3	2	9	14	57
B0000AY3IS	1	3	4	3	12
B0000DHVN3	60	20	19	58	103
B0000EZ1KK	173	38	39	144	654
B0000W4U2C	1	0	0	8	33
B0000WWP4M	0	1	2	10	53
B0000Y2WXE	1	1	1	8	10
B00012F7CI	2	0	3	14	47
B00018Q4GA	5	12	11	43	145
B0001VGFKW	18	17	23	81	331
B0001VHARY	18	25	61	163	429
B00020S7XK	233	201	376	855	3249
B00025742A	105	25	59	165	666
B00026BOFW	2	3	5	12	6
B00026BQJ6	62	27	36	138	328
B0002855KK	3	3	5	21	84
B00029338A	1	0	6	10	19
B0002EXJ98	17	11	6	15	26
B0002GV876	49	23	23	64	199
B0002I5RI0	39	35	42	85	151
B0002K6Y9E	24	21	29	40	58
B0002KVQBA	104	92	171	607	2925
B0002QLDLC	138	29	42	149	814
B0002TQQUW	23	11	15	38	101
B0002WTK4S	1	2	8	50	151
B0006B486K	100	121	128	222	593
B0006DPMU4	19	21	38	123	380
B0006OCEFY	22	23	17	36	98
B0006TIA48	12	19	12	37	96
B0007NWL70	383	264	288	575	2816
B0007QN18U	35	34	56	156	336
B00081NX5U	86	53	65	231	736
B00096ZRJ4	6	2	3	8	128
B00097CUIE	3	3	4	30	92
B0009VKJH4	32	19	15	76	303
B0009ZAA4C	74	71	101	264	670
B000B7NAP4	1	1	2	9	40
B000B7NCRA	1	1	4	3	18
B000CRFOMK	86	15	31	150	1101
B000EBPJCO	51	30	45	125	458
B000EHUFLI	1	1	1	6	61
B000ENRQ3M	482	207	258	466	973
B000EU02YK	23	9	31	39	158
B000F2BLTM	5	6	16	22	222
B000F9YN2M	47	25	61	199	1205
B000FBK3QK	286	106	121	519	2819
B000FCN9X8	12	1	4	11	76
B000FHD7PI	32	26	39	99	223
B000FJ89UO	7	6	17	74	261
B000FMNBXG	30	10	10	35	78
B000FMV4TY	41	25	20	35	96
B000FYZ9XO	1	0	1	8	52
B000FYZARY	5	3	3	7	83
B000G65R60	2	2	7	8	64
B000G6M91G	94	61	97	187	560
B000G6RVSW	14	8	11	20	56
B000GC5AD4	11	3	8	11	21
B000GFPTQY	14	10	9	16	70
B000GU78Z4	16	15	34	111	405
B000GU8B28	50	18	20	57	151
B000HMLP5A	11	12	15	52	220
B000I23TTE	303	90	220	431	1947
B000I68BD4	789	521	537	739	1571
B000J45H0U	9	3	3	8	30
B000K818SA	6	3	5	8	23
B000KQQUQW	29	36	49	71	53
B000LRA6TM	1	0	0	6	49
B000MCELG0	25	12	18	53	111
B000MCGF1O	89	63	65	149	377
B000MCKALA	7	3	9	10	29
B000MFRXNU	0	1	1	2	20
B000MGH5W8	50	45	43	85	188
B000MT7RW8	1	1	2	7	22
B000MVJ1M0	114	57	58	155	390
B000N8RK7K	19	27	32	62	89
B000NJDO5G	8	6	3	21	62
B000NV0SG2	86	93	167	404	886
B000O3TFZO	5	4	14	53	273
B000OG4E1G	7	8	18	94	332
B000OGA81Q	3	2	7	36	87
