asin	val	productGroup	brand
B00000K2YR	77.86	Speakers	Midland
B00001P4XA	17.53	Speakers	Koss
B00001P4XH	9.01	Speakers	Koss
B00001P4ZH	39.355	Speakers	Koss
B00001P505	22.955	Speakers	Koss
B00001WRSJ	102.49	Speakers	Sony
B0000228GF	38.53	Speakers	Sangean
B00004Z7G9	95.36	Speakers	Koss
B0000510ZO	5.1	Speakers	C2G
B00005111L	35.19	Speakers	Tripp Lite
B000051SD1	38.53	Speakers	Koss
B00005T3BD	106.94	Speakers	Polk Audio
B00005T3C8	118.95	Speakers	Polk Audio
B000065BPB	94.87	Speakers	Sennheiser
B000066R6M	42.38	Speakers	Sangean
B000068CNM	16.99	Speakers	Belkin
B000069EV0	36.99	Speakers	Terk
B00006B81E	6.81	Speakers	Tripp Lite
B00006HOKR	40.07	Speakers	Sangean
B00006HQR8	16.09	Speakers	Fellowes
B00006I539	229.43	Speakers	Bose
B00006I53B	158	Speakers	Bose
B00006IS4X	146.1	Speakers	Sony
B00006JPDF	54.2	Speakers	BIC America
B00006JQKA	79.99	Speakers	TIC
B00006WNKR	399	Speakers	Bose
B00007KDX6	27.12	Speakers	Panasonic
B00007L3MX	57.47	Speakers	APC
B00008VFBE	11.35	Speakers	StarTech
B00008XETL	31.59	Speakers	Sony
B000092TT0	179.99	Speakers	Polk Audio
B000095SB4	59.99	Speakers	Sony
B00009K087	135.39	Speakers	Teac
B00009V3TT	88.96	Speakers	Pyle
B00009WBYJ	67.6	Speakers	BIC America
B00009WBYL	103.22	Speakers	BIC America
B0000AI0N1	10.2566666666667	Speakers	Tripp Lite
B0000AUFKI	159	Speakers	Motorola Solutions
B0000AY3IS	238.95	Speakers	Bose
B0000DHVN3	105.31	Speakers	Crosley
B0000EZ1KK	129	Speakers	Onkyo
B0000W4U2C	276.98	Speakers	Yamaha Audio
B0000WWP4M	116.99	Speakers	Polk Audio
B0000Y2WXE	75.07	Speakers	BIC America
B00012F7CI	146.92	Speakers	BIC America
B00018Q4GA	129.95	Speakers	Yamaha Audio
B0001VGFKW	69.99	Speakers	Yamaha Audio
B0001VHARY	98	Speakers	Yamaha Audio
B00020S7XK	12.97	Speakers	Sony
B00025742A	17.54	Speakers	Pyle
B00026BOFW	128.98	Speakers	Pyle
B00026BQJ6	126.64	Speakers	Audiosource
B0002855KK	60.55	Speakers	Da-Lite
B00029338A	61.94	Speakers	Da-Lite
B0002EXJ98	60.5	Speakers	RF Link
B0002GV876	18.195	Speakers	C2G
B0002I5RI0	12.74	Speakers	JVC
B0002K6Y9E	29.53	Speakers	Kensington
B0002KVQBA	99.495	Speakers	Polk
B0002QLDLC	34.51	Speakers	APC
B0002TQQUW	44.95	Speakers	Sony
B0002WTK4S	599.95	Speakers	Polk Audio
B0006B486K	12.26	Speakers	Koss
B0006DPMU4	79.99	Speakers	EldHus
B0006OCEFY	86.98	Speakers	Kaito
B0006TIA48	10.27	Speakers	Kensington
B0007NWL70	19.99	Speakers	Kidz Gear
B0007QN18U	153.66	Speakers	Sennheiser
B00081NX5U	33.78	Speakers	Dual Electronics
B00096ZRJ4	549	Speakers	Klipsch
B00097CUIE	98.18	Speakers	Yamaha Audio
B0009VKJH4	167.15	Speakers	Altec Lansing
B0009ZAA4C	126.16	Speakers	Sangean
B000B7NAP4	126.99	Speakers	BIC
B000B7NCRA	60.59	Speakers	BIC America
B000CRFOMK	11.31	Speakers	ClearMax
B000EBPJCO	69	Speakers	Sennheiser
B000EHUFLI	247.04	Speakers	Cerwin-Vega
B000ENRQ3M	41.62	Speakers	RCAW9
B000EU02YK	47.6	Speakers	Crosley
B000F2BLTM	301.92	Speakers	beyerdynamic
B000F9YN2M	11.12	Speakers	Monster
B000FBK3QK	139.95	Speakers	CyberPower
B000FCN9X8	31.18	Speakers	Wholesale Parts
B000FHD7PI	129.99	Speakers	Sony
B000FJ89UO	127.74	Speakers	Yamaha Audio
B000FMNBXG	329	Speakers	Denon
B000FMV4TY	79.28	Speakers	Crosley
B000FYZ9XO	415.47	Speakers	JBL
B000FYZARY	464.88	Speakers	JBL
B000G65R60	699	Speakers	JBL
B000G6M91G	35.29	Speakers	Sangean
B000G6RVSW	34.99	Speakers	Sangean
B000GC5AD4	50.23	Speakers	Koss
B000GFPTQY	907.82	Speakers	Bose
B000GU78Z4	338.2	Speakers	Onkyo
B000GU8B28	139.7	Speakers	Teac
B000HMLP5A	136.445	Speakers	Onkyo
B000I23TTE	6.41	Speakers	C&amp;E
B000I68BD4	7.595	Speakers	JLAB
B000J45H0U	79.45	Speakers	Pyle
B000K818SA	454	Speakers	Harman Kardon
B000KQQUQW	38.68	Speakers	JVC
B000LRA6TM	275.29	Speakers	JBL
B000MCELG0	29.64	Speakers	Pyle
B000MCGF1O	25.83	Speakers	Pyle
B000MCKALA	25.1	Speakers	Pyle
B000MFRXNU	295.19	Speakers	JBL
B000MGH5W8	157.95	Speakers	Sennheiser
B000MT7RW8	199	Speakers	Yamaha Audio
B000MVJ1M0	34.55	Speakers	Sony
B000N8RK7K	27.16	Speakers	Koss
B000NJDO5G	46.84	Speakers	Pyle
B000NV0SG2	22.5	Speakers	JVC
B000O3TFZO	84.95	Speakers	Yamaha Audio
B000OG4E1G	199.99	Speakers	COWIN
B000OGA81Q	140	Speakers	Sony
B000OH56ZS	35.01	Speakers	GPX
B000OMKR8E	131.47	Speakers	Audio-Technica
B000P0528K	237.015	Speakers	Polk Audio
B000P0528U	203.92	Speakers	Polk Audio
B000P1QJXQ	32.33	Speakers	Smart Strip
B000P708NM	15.145	Speakers	Midland
B000PBW6VK	19.99	Speakers	Power Acoustik
B000PVXWZ4	999	Speakers	Klipsch
B000R2PC2M	228.04	Speakers	Sennheiser
B000R6SYKU	108.99	Speakers	AblePlanet
B000SE6IV8	3.385	Speakers	Cables Unlimited
B000SONAJ6	16	Speakers	Channel Master
B000TDCJHK	219.98	Speakers	Definitive Technology
B000TDENA6	699.98	Speakers	Definitive Technology
B000TDZOXG	196.99	Speakers	Sennheiser
B000TEVQVO	65.68	Speakers	Sangean
B000TQ4D8K	99.95	Speakers	Yamaha Audio
B000U07C1U	128.93	Speakers	JVC
B000UVKE2I	41.37	Speakers	Jensen
B000V2OQL6	499.95	Speakers	Polk Audio
B000V2SEX2	749.95	Speakers	Polk Audio
B000V2UBS8	194	Speakers	Polk Audio
B000V7H1FO	175.7	Speakers	Yamaha Audio
B000V8RCTS	19.95	Speakers	Monster
B000VZP040	295.73	Speakers	JBL
B000W0ETD2	13.43	Speakers	Ergotron
B000WG069C	24.02	Speakers	Wonpro
B000X1XP3U	217.65	Speakers	Sangean
B000XPG2QI	134.08	Speakers	Etymotic Research
B000Z80ICM	79.99	Speakers	APC
