1	2	3	4	5
1	0	0	0	0
0	0	1	1	5
1	0	0	0	0
0	0	0	1	2
1	0	2	3	4
2	1	7	33	69
3	0	0	3	11
0	0	0	0	1
0	0	0	0	1
2	2	3	30	31
2	1	6	20	22
16	8	9	44	24
19	3	7	20	13
6	7	12	19	24
11	2	5	12	5
6	5	8	7	5
5	3	5	16	7
3	0	1	5	6
1	1	0	6	4
2	0	2	8	6
0	1	0	1	3
1	0	0	0	2
0	0	0	1	0
0	0	1	0	1
0	0	0	4	1
0	0	1	2	0
0	0	0	1	0
0	0	0	0	2
0	0	0	0	1
0	0	0	3	5
0	0	1	0	2
25	2	9	40	146
0	0	1	1	5
3	1	2	6	25
7	1	7	8	21
1	0	1	0	4
0	0	0	0	2
0	0	0	0	1
0	0	0	1	1
1	0	1	1	1
0	0	0	0	1
1	0	0	1	3
0	1	1	5	8
0	0	0	0	1
1	0	2	4	6
0	0	1	2	0
0	0	0	0	1
0	0	0	1	0
2	0	0	0	0
1	0	0	0	0
20	6	12	18	58
0	0	0	0	2
0	0	0	0	3
0	0	0	2	2
0	0	0	2	0
0	0	0	1	0
1	0	0	1	1
0	0	0	0	1
0	0	1	0	0
0	0	0	1	3
0	0	0	0	1
4	4	3	17	29
1	0	0	5	8
0	0	0	0	1
0	1	1	6	39
1	1	4	31	84
0	0	0	0	1
0	0	0	1	4
2	1	1	6	6
1	0	0	0	0
0	0	0	1	0
1	2	0	1	5
0	1	0	0	1
0	0	1	1	3
0	0	0	1	3
0	0	1	5	16
4	5	2	16	46
0	0	0	0	1
0	0	0	0	1
1	0	1	0	0
0	0	0	0	1
2	0	1	2	4
0	0	1	1	1
0	0	0	3	5
0	0	0	0	1
1	0	0	3	2
0	0	0	1	0
1	0	0	1	1
29	5	5	14	27
0	0	0	1	1
10	0	5	11	43
0	0	0	2	1
0	1	0	0	1
4	0	8	20	46
1	0	0	0	1
2	0	0	1	1
1	0	0	0	1
0	0	0	0	1
5	0	10	19	70
0	0	1	3	7
0	0	0	1	0
0	0	0	0	2
0	0	0	0	2
2	1	1	6	9
0	0	0	0	1
0	0	0	0	1
0	2	2	0	4
0	0	0	1	4
1	0	2	3	10
1	0	0	3	1
0	0	0	3	11
1	4	2	13	45
8	6	18	93	278
1	0	1	4	11
0	0	0	2	1
0	1	0	1	3
5	1	1	14	47
5	0	2	11	42
2	1	0	3	2
10	8	24	112	173
1	0	0	1	0
0	0	0	0	1
1	0	0	2	1
0	0	1	0	0
0	0	0	0	1
1	0	0	1	5
0	0	0	0	2
0	0	0	0	3
0	0	0	2	8
0	0	0	0	2
0	0	0	1	0
0	1	0	0	1
0	1	0	0	1
0	0	1	5	6
1	0	2	1	4
0	0	0	0	1
2	0	0	0	0
0	0	0	0	1
0	0	0	0	1
11	5	2	12	28
4	0	5	11	28
1	0	0	4	1
0	0	0	1	1
3	0	1	3	14
0	0	0	1	0
0	0	1	1	2
0	0	0	0	1
1	0	0	0	0
0	0	0	0	4
1	0	0	0	9
0	0	0	0	2
0	0	0	0	2
0	0	0	3	5
5	3	0	5	13
0	0	1	1	7
0	0	0	0	1
0	0	0	0	1
2	2	2	16	44
0	0	0	0	4
0	0	0	0	1
0	0	1	0	5
0	0	0	2	3
0	0	0	1	0
0	0	0	1	4
0	0	0	0	2
0	0	0	1	5
1	0	0	3	2
0	0	1	1	5
0	3	2	0	1
3	1	0	0	1
0	0	1	0	4
1	0	0	0	3
0	0	0	6	23
2	0	0	0	5
4	0	0	0	1
1	0	0	0	2
1	0	1	0	0
1	0	0	4	5
12	10	20	76	163
4	0	2	9	49
0	0	0	0	2
7	4	9	43	62
0	0	1	4	8
16	3	10	17	60
0	0	0	0	1
0	0	0	0	2
5	2	1	7	42
1	0	0	0	0
1	0	0	0	0
0	0	0	2	0
0	0	1	0	2
3	1	6	37	57
6	0	0	0	8
3	0	1	3	3
14	5	5	12	21
0	0	0	1	0
0	2	2	17	22
0	0	0	0	1
0	0	0	0	2
0	0	0	1	0
1	0	0	0	0
7	2	3	8	18
3	0	0	13	46
0	0	0	0	1
1	0	0	2	3
1	1	4	8	23
37	3	5	19	60
0	0	1	1	3
0	0	1	0	1
0	1	0	0	0
0	0	0	0	1
0	0	0	1	3
2	0	1	4	7
4	1	1	9	29
4	1	4	31	138
2	0	2	14	36
51	10	21	66	117
2	1	3	4	24
1	2	0	2	2
3	3	5	17	176
2	1	2	15	37
0	0	0	1	0
4	7	3	17	27
58	6	10	23	49
5	1	3	16	50
0	0	2	16	66
1	0	0	0	0
0	0	0	0	1
10	3	7	12	14
1	0	1	0	1
3	2	0	0	0
0	0	0	0	3
96	11	16	33	76
0	0	0	2	0
0	0	0	1	0
1	0	1	0	4
0	0	0	1	1
0	1	3	4	31
0	0	0	1	0
0	1	0	0	0
2	4	6	22	47
2	0	1	0	1
0	0	1	2	2
0	0	1	1	0
8	1	0	3	17
1	0	0	3	5
62	13	17	48	95
2	0	0	1	4
2	2	2	3	6
40	6	9	53	155
0	0	0	0	1
0	1	0	3	1
27	5	11	20	74
0	0	0	0	1
0	1	2	2	4
0	0	0	0	5
0	0	0	0	1
4	1	3	7	6
1	1	2	0	0
0	1	0	0	0
22	9	8	37	48
0	0	0	1	2
0	0	1	12	18
6	1	2	7	35
0	0	0	1	0
2	1	1	3	5
0	0	0	1	0
131	24	39	81	228
0	0	0	0	4
9	1	5	26	141
0	0	0	0	1
0	0	0	0	1
0	0	1	0	2
1	0	0	0	0
51	12	22	58	91
2	1	1	4	18
0	0	1	0	1
3	1	1	2	4
7	1	7	23	82
1	0	1	8	17
0	0	0	0	3
0	0	0	0	1
0	0	0	0	2
2	1	2	1	8
1	2	1	17	69
0	0	0	0	1
0	0	0	1	0
0	0	0	0	1
16	8	10	64	127
1	1	4	16	44
0	0	0	2	8
0	0	0	2	0
1	0	0	4	12
4	1	4	9	26
0	0	0	2	0
0	0	0	1	0
0	3	2	2	13
8	0	2	7	4
7	1	8	44	165
5	1	1	16	26
1	1	0	1	2
1	0	0	0	0
58	12	13	47	66
3	1	2	0	18
6	1	3	5	9
0	0	0	1	0
1	1	2	1	2
3	0	2	2	13
0	0	0	3	3
0	1	1	3	9
26	3	10	33	80
0	0	1	1	0
0	0	0	0	1
1	0	1	0	3
63	16	7	37	71
0	0	0	0	3
3	0	0	1	3
2	0	1	2	27
0	0	0	1	0
13	5	3	16	63
0	0	1	2	5
9	3	2	5	6
3	0	3	9	31
12	4	5	2	12
10	0	0	2	6
0	0	0	0	1
56	13	22	40	56
6	3	4	11	25
2	0	0	1	10
7	0	2	6	44
2	1	1	0	3
3	0	0	6	17
1	0	0	0	1
1	1	1	4	17
0	0	0	0	2
2	2	0	8	8
0	0	0	6	12
0	1	0	0	5
16	3	10	41	98
0	2	0	1	8
2	1	1	5	12
1	0	0	3	7
5	0	1	4	7
1	0	1	0	1
2	2	2	3	14
0	0	1	1	8
1	1	1	1	4
9	2	7	27	109
4	2	2	0	5
0	0	1	1	3
19	5	14	108	257
0	0	0	5	3
2	0	2	1	2
20	6	7	12	26
0	0	0	0	5
2	1	5	20	166
0	0	1	0	0
0	0	0	0	1
0	0	0	1	0
24	16	15	54	77
6	2	7	51	110
0	1	0	3	11
0	0	0	0	1
0	0	3	5	12
50	12	15	49	134
1	0	0	0	6
1	1	1	12	24
3	0	1	8	10
4	2	3	25	217
0	0	0	4	6
2	0	3	0	0
0	0	0	6	8
0	0	0	0	1
11	5	8	58	197
1	1	1	6	73
1	0	2	0	1
2	0	1	3	16
0	0	0	3	9
6	4	4	21	63
5	1	0	1	0
1	1	1	1	1
3	2	0	1	2
0	0	0	0	2
7	2	2	16	137
2	0	2	16	28
0	1	3	2	10
1	0	1	4	47
0	0	0	4	10
0	0	2	3	2
1	0	0	0	0
51	9	42	149	298
3	2	3	9	7
1	0	0	6	15
0	0	0	0	6
7	2	6	12	51
0	0	0	2	6
1	0	2	5	17
3	1	6	32	89
0	0	0	1	5
11	1	5	13	89
0	0	0	0	1
1	3	3	12	76
24	12	20	37	82
1	0	2	6	1
1	0	1	0	1
5	0	3	38	124
1	0	1	3	3
1	1	1	2	2
27	9	14	85	217
17	6	7	9	11
0	0	0	0	2
0	0	2	5	30
8	1	1	1	7
1	0	1	0	0
1	0	0	1	0
2	0	4	13	64
12	1	8	19	93
3	2	2	13	15
3	1	3	7	61
4	0	2	6	32
2	0	2	7	25
3	0	1	3	0
2	0	3	7	20
0	0	0	2	7
1	0	1	6	6
0	0	1	2	7
3	1	0	3	12
1	0	0	6	3
0	0	0	1	0
3	1	0	4	7
0	1	0	7	11
1	1	4	7	9
31	3	5	12	48
0	0	0	2	5
0	0	0	0	3
0	0	0	1	1
1	0	0	4	9
2	1	7	30	79
0	0	0	0	9
0	0	0	0	4
2	0	0	11	21
3	1	0	6	7
0	0	0	1	0
0	0	0	10	19
1	1	1	2	10
0	0	1	1	0
1	0	3	8	21
129	20	34	68	80
0	0	1	7	12
1	0	4	17	43
3	0	2	1	2
5	0	2	3	9
3	0	3	9	26
3	2	7	19	44
1	1	1	6	5
3	2	2	8	21
0	0	0	0	1
0	0	1	2	16
0	0	0	0	2
2	0	0	3	2
15	3	8	17	92
40	3	6	27	111
2	3	1	11	36
1	0	0	0	2
3	2	0	3	3
0	0	0	1	3
6	3	2	15	39
0	0	0	0	1
4	2	6	28	59
1	0	0	0	1
1	0	0	7	65
5	4	4	13	19
10	1	2	25	114
8	2	1	4	0
14	2	4	10	21
8	1	3	0	2
0	0	0	0	1
1	0	1	1	4
4	2	4	16	18
1	0	0	6	22
6	0	0	1	7
0	0	0	2	3
1	0	2	11	19
17	9	26	75	98
1	0	0	0	1
0	0	0	1	1
19	5	3	20	56
0	0	0	0	4
4	2	4	19	18
0	0	2	3	9
0	0	0	1	10
1	0	6	8	16
1	0	0	1	1
0	0	0	0	1
1	1	1	19	16
0	0	0	0	1
1	0	0	6	4
0	0	1	0	0
1	2	1	3	12
2	0	4	11	20
0	0	1	0	1
1	0	1	3	4
1	0	2	8	11
2	2	2	10	13
3	1	1	9	9
2	0	6	10	24
0	1	3	2	11
2	2	3	12	47
4	6	5	16	43
2	4	2	11	32
2	1	8	10	26
0	0	0	10	32
3	1	4	6	11
2	0	4	14	20
10	6	11	31	37
13	8	16	32	45
10	9	17	27	20
4	2	2	13	14
0	0	1	8	17
